City,Country,Lat,Lng,Max Temp,Cloudiness,Humidity,Wind Speed,Date
yulara,au,-25.24,130.99,60.8,0.0,44.0,6.93,2019-03-26 22:00:00
busselton,au,-33.64,115.35,55.0,12.0,48.0,14.5,2019-03-26 22:30:32
ixtapa,mx,20.71,-105.21,79.0,5.0,74.0,11.41,2019-03-26 22:30:17
tilichiki,ru,60.47,166.1,13.89,56.0,81.0,10.09,2019-03-26 22:27:37
thompson,ca,55.74,-97.86,44.6,75.0,52.0,13.87,2019-03-26 22:00:00
gravenhurst,ca,44.92,-79.37,34.0,1.0,51.0,8.05,2019-03-26 22:31:33
hobart,au,-42.88,147.33,57.0,0.0,54.0,8.05,2019-03-26 22:31:41
soanierana ivongo,mg,-16.92,49.59,78.66,0.0,100.0,1.97,2019-03-26 22:32:16
sao joao da barra,br,-21.64,-41.05,78.8,0.0,69.0,6.93,2019-03-26 22:00:00
twentynine palms,us,34.14,-116.05,86.0,1.0,8.0,5.99,2019-03-26 22:31:41
benjamin constant,br,-4.38,-70.03,78.8,75.0,83.0,4.7,2019-03-26 22:00:00
saquarema,br,-22.93,-42.51,80.6,20.0,69.0,4.7,2019-03-26 22:00:00
port alfred,za,-33.59,26.89,65.61,36.0,93.0,9.35,2019-03-26 22:33:54
atuona,pf,-9.8,-139.03,82.44,8.0,100.0,13.15,2019-03-26 22:37:42
huancavelica,pe,-12.79,-74.97,43.33,92.0,100.0,2.19,2019-03-26 22:32:16
hasaki,jp,35.73,140.83,48.2,0.0,36.0,3.36,2019-03-26 22:24:36
the hammocks,us,25.67,-80.44,82.99,75.0,61.0,8.05,2019-03-26 22:31:53
basco,ph,40.33,-91.2,55.0,1.0,25.0,6.93,2019-03-26 22:31:16
vardo,no,39.62,-77.74,48.2,1.0,23.0,5.82,2019-03-26 22:29:15
manacapuru,br,-3.3,-60.62,87.33,20.0,67.0,5.39,2019-03-26 22:27:47
ostrovnoy,ru,68.05,39.51,17.82,0.0,84.0,13.49,2019-03-26 22:32:17
east london,za,-33.02,27.91,68.58,68.0,100.0,5.44,2019-03-26 22:30:41
takoradi,gh,4.89,-1.75,80.68,8.0,100.0,6.11,2019-03-26 22:32:17
fortuna,us,38.18,-1.13,57.2,20.0,54.0,10.29,2019-03-26 22:31:37
akil,mx,20.26,-89.35,86.49,0.0,36.0,7.0,2019-03-26 22:32:18
tasiilaq,gl,65.61,-37.64,26.6,24.0,49.0,8.05,2019-03-26 21:50:00
vaini,to,15.34,74.49,71.82,92.0,94.0,1.19,2019-03-26 22:38:10
airai,pw,-8.93,125.41,74.65,48.0,89.0,1.97,2019-03-26 22:32:18
kandrian,pg,-6.21,149.55,84.33,32.0,78.0,3.98,2019-03-26 22:32:18
puerto ayora,ec,-0.74,-90.35,84.2,75.0,70.0,11.41,2019-03-26 22:30:23
saint-philippe,re,45.36,-73.48,33.01,1.0,42.0,19.46,2019-03-26 22:35:57
butaritari,ki,3.07,172.79,83.37,48.0,100.0,16.24,2019-03-26 22:29:23
avarua,ck,-21.21,-159.78,84.2,0.0,79.0,6.93,2019-03-26 22:00:00
esperance,au,10.24,-61.45,82.99,20.0,65.0,9.17,2019-03-26 22:31:54
srednekolymsk,ru,67.46,153.71,4.59,80.0,59.0,12.15,2019-03-26 22:32:18
anloga,gh,5.79,0.9,84.2,20.0,79.0,6.93,2019-03-26 21:00:00
laguna,br,27.52,-110.01,86.0,90.0,27.0,11.41,2019-03-26 21:41:00
jiaohe,cn,43.72,127.34,28.35,76.0,59.0,3.65,2019-03-26 22:32:19
vostok,ru,46.45,135.83,19.11,56.0,68.0,5.73,2019-03-26 22:30:00
tete,mz,-16.16,33.59,73.4,20.0,88.0,9.01,2019-03-26 22:00:00
qaanaaq,gl,77.48,-69.36,-14.41,32.0,83.0,13.49,2019-03-26 22:32:19
entre rios,bo,-11.94,-38.08,81.09,88.0,88.0,7.11,2019-03-26 22:32:49
vershino-shakhtaminskiy,ru,51.3,117.89,8.86,12.0,45.0,4.76,2019-03-26 22:32:49
hithadhoo,mv,-0.6,73.08,82.48,68.0,100.0,5.66,2019-03-26 22:32:50
kodiak,us,39.95,-94.76,63.0,1.0,51.0,6.93,2019-03-26 22:32:02
torbay,ca,47.66,-52.73,26.01,90.0,67.0,10.29,2019-03-26 22:32:07
sopelana,es,43.38,-2.98,52.0,40.0,81.0,3.36,2019-03-26 22:31:38
shamgarh,in,24.18,75.63,56.07,0.0,66.0,2.75,2019-03-26 22:32:50
cape town,za,-33.93,18.42,69.01,0.0,63.0,6.93,2019-03-26 22:26:06
dawson creek,ca,55.76,-120.23,48.2,1.0,58.0,5.82,2019-03-26 22:00:00
lorengau,pg,-2.02,147.27,83.65,88.0,95.0,8.23,2019-03-26 22:32:34
changli,cn,30.54,105.42,55.44,100.0,86.0,2.98,2019-03-26 22:32:50
nikolskoye,ru,59.7,30.79,28.99,0.0,79.0,13.42,2019-03-26 22:30:35
lagoa,pt,37.14,-8.45,63.0,40.0,67.0,14.99,2019-03-26 22:32:10
sinnamary,gf,5.38,-52.96,80.55,88.0,92.0,11.48,2019-03-26 22:32:51
bambous virieux,mu,-20.34,57.76,78.8,75.0,88.0,2.24,2019-03-26 22:29:06
haines junction,ca,60.75,-137.51,38.7,12.0,47.0,2.64,2019-03-26 22:32:51
kuusamo,fi,65.96,29.19,6.8,0.0,84.0,1.12,2019-03-26 21:50:00
tuktoyaktuk,ca,69.44,-133.03,19.4,90.0,85.0,5.82,2019-03-26 21:00:00
saint anthony,ca,43.97,-111.68,60.01,1.0,26.0,18.34,2019-03-26 22:31:27
kununurra,au,-15.77,128.74,80.6,0.0,94.0,11.25,2019-03-26 22:00:00
constitucion,mx,23.99,-104.67,81.0,75.0,11.0,9.17,2019-03-26 22:20:16
luanda,ao,-8.83,13.24,78.8,75.0,88.0,3.36,2019-03-26 22:00:00
chokurdakh,ru,70.62,147.9,-2.98,44.0,86.0,15.61,2019-03-26 22:32:52
flinders,au,-34.58,150.85,68.0,75.0,77.0,9.17,2019-03-26 22:32:05
praia,cv,-20.25,-43.81,80.6,0.0,57.0,9.17,2019-03-26 22:00:00
bluff,nz,-23.58,149.07,83.83,48.0,57.0,9.24,2019-03-26 22:35:30
umea,se,63.83,20.26,24.8,0.0,100.0,3.36,2019-03-26 21:50:00
katsuura,jp,33.93,134.5,46.4,20.0,65.0,6.93,2019-03-26 22:00:00
klaksvik,fo,62.23,-6.59,44.6,64.0,70.0,12.75,2019-03-26 21:50:00
eisenerz,at,47.54,14.89,37.99,80.0,69.0,5.66,2019-03-26 22:32:05
acapulco,mx,16.86,-99.88,86.0,5.0,70.0,5.82,2019-03-26 21:48:00
port hardy,ca,50.7,-127.42,50.0,40.0,76.0,13.87,2019-03-26 22:00:00
mago,ru,53.27,140.15,18.31,80.0,64.0,5.21,2019-03-26 22:32:53
longyearbyen,sj,78.22,15.63,19.4,75.0,73.0,12.75,2019-03-26 21:50:00
kloulklubed,pw,7.04,134.26,78.8,90.0,88.0,4.7,2019-03-26 21:50:00
nueva loja,ec,0.08,-76.88,89.6,0.0,62.0,4.7,2019-03-26 22:00:00
yerbogachen,ru,61.28,108.01,18.81,88.0,89.0,4.32,2019-03-26 22:32:53
elbistan,tr,38.2,37.19,30.06,36.0,89.0,2.75,2019-03-26 22:32:53
dikson,ru,73.51,80.55,29.2,88.0,94.0,28.48,2019-03-26 22:32:54
naron,es,43.52,-8.15,54.0,0.0,61.0,3.36,2019-03-26 22:31:15
fort nelson,ca,58.81,-122.69,48.2,75.0,42.0,2.24,2019-03-26 22:00:00
jangaon,in,17.72,79.16,70.47,0.0,79.0,8.23,2019-03-26 22:32:54
chekmagush,ru,55.14,54.65,31.5,80.0,90.0,18.3,2019-03-26 22:32:54
lakatoro,vu,-16.11,167.42,82.03,80.0,90.0,10.47,2019-03-26 22:32:54
eldorado,br,24.32,-107.36,90.0,75.0,31.0,6.93,2019-03-26 22:30:17
mata,cn,22.63,-79.93,80.6,75.0,54.0,12.75,2019-03-26 21:54:00
kambove,cd,-10.88,26.6,60.12,24.0,92.0,2.64,2019-03-26 22:33:25
beloha,mg,-25.17,45.06,70.2,0.0,90.0,0.63,2019-03-26 22:33:25
balkhash,kz,46.84,74.98,35.73,76.0,81.0,9.46,2019-03-26 22:33:25
rawson,ar,-43.3,-65.11,62.73,0.0,45.0,14.72,2019-03-26 22:33:26
hermanus,za,-34.42,19.24,68.0,88.0,77.0,8.01,2019-03-26 22:30:50
anadyr,ru,64.73,177.51,30.2,75.0,86.0,33.55,2019-03-26 22:32:27
nome,us,30.04,-94.42,78.8,1.0,38.0,10.29,2019-03-26 22:33:24
cap malheureux,mu,-19.98,57.61,78.8,75.0,88.0,2.24,2019-03-26 22:29:06
barrow,us,-38.31,-60.23,52.02,0.0,73.0,8.46,2019-03-26 22:39:13
dobrljin,ba,45.15,16.48,41.0,0.0,65.0,2.24,2019-03-26 22:30:01
coquimbo,cl,-29.95,-71.34,57.2,75.0,87.0,8.05,2019-03-26 22:00:00
vanimo,pg,-2.67,141.3,80.94,76.0,100.0,10.2,2019-03-26 22:29:10
vilyuysk,ru,63.75,121.63,2.88,0.0,65.0,6.33,2019-03-26 22:33:27
saint george,bm,39.45,22.34,53.6,75.0,81.0,5.82,2019-03-26 21:50:00
carnarvon,au,-30.97,22.13,55.71,44.0,47.0,8.46,2019-03-26 22:33:27
nan,th,18.78,100.78,71.05,68.0,95.0,2.64,2019-03-26 22:33:27
urcos,pe,-13.69,-71.62,55.4,75.0,71.0,10.29,2019-03-26 22:20:00
naze,jp,5.43,7.07,75.2,75.0,94.0,7.34,2019-03-26 21:00:00
georgetown,sh,6.8,-58.16,82.4,20.0,74.0,6.93,2019-03-26 22:00:00
paka,my,45.29,18.06,35.6,0.0,69.0,6.93,2019-03-26 22:00:00
shubarshi,kz,48.59,57.19,22.9,0.0,68.0,8.01,2019-03-26 22:33:28
faya,td,18.39,42.45,60.8,0.0,82.0,8.05,2019-03-26 22:00:00
guerrero negro,mx,27.97,-114.04,67.63,48.0,65.0,11.03,2019-03-26 22:31:06
amga,ru,60.89,131.98,8.1,44.0,64.0,4.88,2019-03-26 22:33:28
faanui,pf,-16.48,-151.75,83.46,32.0,100.0,8.08,2019-03-26 22:29:38
teguldet,ru,57.31,88.17,16.15,0.0,77.0,5.99,2019-03-26 22:33:28
kavaratti,in,10.57,72.64,83.43,0.0,100.0,7.45,2019-03-26 22:31:30
upernavik,gl,72.79,-56.15,4.14,48.0,100.0,4.21,2019-03-26 22:33:28
bathsheba,bb,13.22,-59.52,78.8,20.0,74.0,18.34,2019-03-26 22:00:00
kulunda,ru,52.57,78.94,29.7,80.0,78.0,9.8,2019-03-26 22:33:29
qandala,so,11.47,49.87,69.3,0.0,86.0,2.75,2019-03-26 22:33:29
new norfolk,au,-42.78,147.06,57.0,0.0,54.0,8.05,2019-03-26 22:33:15
twin falls,us,42.57,-114.46,59.0,1.0,35.0,9.17,2019-03-26 21:53:00
correntina,br,-13.34,-44.63,72.13,92.0,90.0,3.2,2019-03-26 22:33:29
washington,us,38.9,-77.04,48.99,1.0,26.0,11.41,2019-03-26 22:29:19
bud,no,62.91,6.91,44.6,75.0,81.0,16.11,2019-03-26 22:31:53
deputatskiy,ru,69.3,139.9,-4.24,20.0,74.0,4.09,2019-03-26 22:33:29
yellowknife,ca,62.45,-114.38,30.2,90.0,68.0,13.87,2019-03-26 22:35:24
caravelas,br,-17.73,-39.27,82.3,0.0,100.0,10.69,2019-03-26 22:38:32
grand gaube,mu,-20.01,57.66,78.8,75.0,88.0,2.24,2019-03-26 22:29:06
ilulissat,gl,69.22,-51.1,10.4,88.0,85.0,10.29,2019-03-26 21:50:00
kahului,us,20.89,-156.47,82.4,40.0,51.0,20.8,2019-03-26 22:32:11
griffith,au,-34.29,146.06,57.2,0.0,50.0,9.17,2019-03-26 22:00:00
daru,pg,7.99,-10.85,79.65,24.0,72.0,8.46,2019-03-26 22:34:00
yokadouma,cm,3.52,15.05,70.06,8.0,89.0,2.19,2019-03-26 22:34:00
ribeira grande,pt,38.52,-28.7,59.0,20.0,77.0,6.93,2019-03-26 21:00:00
saldanha,za,41.42,-6.55,49.23,0.0,31.0,14.94,2019-03-26 22:34:01
bath,us,51.38,-2.36,46.99,0.0,75.0,6.93,2019-03-26 22:33:46
hirara,jp,24.8,125.28,64.4,40.0,77.0,4.7,2019-03-26 22:00:00
merauke,id,-8.49,140.4,84.69,0.0,89.0,7.78,2019-03-26 22:34:01
cidreira,br,-30.17,-50.22,67.45,88.0,82.0,6.55,2019-03-26 22:32:27
mackay,au,53.65,-115.58,39.2,90.0,93.0,5.82,2019-03-26 22:00:00
tura,ru,25.52,90.21,59.22,0.0,91.0,2.53,2019-03-26 22:34:01
cayenne,gf,4.94,-52.33,80.6,0.0,74.0,6.93,2019-03-26 22:00:00
narsaq,gl,60.91,-46.05,21.2,75.0,73.0,14.99,2019-03-26 21:50:00
caldas novas,br,-17.75,-48.62,77.26,56.0,65.0,6.22,2019-03-26 22:31:08
chuy,uy,-33.69,-53.46,63.76,92.0,98.0,13.04,2019-03-26 22:34:02
raipur,in,21.24,81.63,80.6,0.0,36.0,12.75,2019-03-26 21:00:00
sombrio,br,-29.11,-49.63,67.68,88.0,100.0,4.99,2019-03-26 22:34:02
waitati,nz,-45.75,170.57,64.0,92.0,79.0,7.0,2019-03-26 22:32:22
road town,vg,18.42,-64.62,80.6,40.0,74.0,9.17,2019-03-26 22:27:12
lufilufi,ws,-13.87,-171.6,84.2,75.0,89.0,13.87,2019-03-26 22:32:22
fjerritslev,dk,57.08,9.27,45.0,92.0,91.0,13.0,2019-03-26 22:30:17
severo-kurilsk,ru,50.68,156.12,29.56,48.0,97.0,5.55,2019-03-26 22:33:46
vila velha,br,-3.71,-38.6,81.0,40.0,83.0,2.24,2019-03-26 22:28:13
pimentel,pe,-3.7,-45.5,75.91,68.0,95.0,0.96,2019-03-26 22:34:03
killybegs,ie,54.63,-8.45,46.0,92.0,86.0,1.99,2019-03-26 22:32:04
baherden,tm,38.44,57.43,46.89,92.0,99.0,3.53,2019-03-26 22:34:03
kabinda,cd,-6.14,24.49,69.39,56.0,93.0,2.98,2019-03-26 22:34:03
kang,bw,-23.67,22.79,79.33,92.0,31.0,3.2,2019-03-26 22:34:03
dingle,ie,11.0,122.67,77.8,48.0,86.0,9.69,2019-03-26 22:31:44
susanville,us,40.42,-120.65,53.6,20.0,46.0,13.87,2019-03-26 22:27:50
victoria,sc,5.28,115.24,78.8,75.0,94.0,4.21,2019-03-26 22:00:00
craigieburn,au,-37.6,144.94,61.0,20.0,62.0,6.93,2019-03-26 22:34:03
port hedland,au,-20.31,118.58,78.8,75.0,100.0,4.7,2019-03-26 22:14:00
souillac,mu,45.6,-0.6,48.99,0.0,49.0,11.41,2019-03-26 22:33:09
ca mau,vn,9.18,105.15,81.81,44.0,79.0,13.27,2019-03-26 22:34:04
phan thiet,vn,10.93,108.1,81.0,0.0,85.0,16.4,2019-03-26 22:30:47
lebu,cl,8.96,38.73,64.4,20.0,55.0,6.93,2019-03-26 22:00:00
tautira,pf,-17.73,-149.15,87.8,75.0,62.0,10.29,2019-03-26 22:32:22
tomatlan,mx,19.93,-105.25,82.26,0.0,47.0,4.21,2019-03-26 22:34:05
ancud,cl,-41.87,-73.83,66.2,0.0,59.0,6.93,2019-03-26 22:00:00
arraial do cabo,br,-22.97,-42.02,80.6,20.0,69.0,4.7,2019-03-26 22:00:00
nanortalik,gl,60.14,-45.24,24.66,76.0,100.0,24.23,2019-03-26 22:33:37
bogorodskoye,ru,52.37,140.44,17.86,32.0,60.0,3.98,2019-03-26 22:34:05
russell,nz,-33.01,-68.8,52.15,76.0,71.0,2.98,2019-03-26 22:32:18
north platte,us,41.12,-100.77,68.0,20.0,40.0,19.46,2019-03-26 22:31:21
amapa,br,15.09,-87.97,87.8,40.0,52.0,20.8,2019-03-26 22:00:00
hegang,cn,47.34,130.28,25.47,0.0,51.0,7.0,2019-03-26 22:34:36
tiarei,pf,-17.53,-149.33,87.8,75.0,62.0,10.29,2019-03-26 22:32:22
lompoc,us,34.64,-120.46,69.8,1.0,46.0,5.82,2019-03-26 22:33:55
madang,pg,-5.21,145.81,80.68,8.0,92.0,3.31,2019-03-26 22:34:36
quatre cocos,mu,-20.21,57.76,78.8,75.0,88.0,2.24,2019-03-26 22:29:06
orsha,ru,54.51,30.43,22.36,32.0,77.0,3.2,2019-03-26 22:34:36
lahaina,us,20.87,-156.68,82.4,20.0,54.0,14.99,2019-03-26 22:32:11
auki,sb,12.18,6.51,68.35,0.0,44.0,4.76,2019-03-26 22:34:36
hualmay,pe,-11.1,-77.61,69.25,8.0,78.0,4.43,2019-03-26 22:33:45
katobu,id,-4.94,122.53,82.8,80.0,96.0,2.75,2019-03-26 22:34:37
makinsk,kz,52.63,70.42,20.88,0.0,81.0,7.56,2019-03-26 22:34:37
saint-augustin,ca,44.83,-0.61,50.0,0.0,53.0,11.41,2019-03-26 22:30:09
san luis de palenque,co,5.42,-71.73,85.05,0.0,42.0,6.44,2019-03-26 22:34:37
aksarka,ru,66.56,67.8,31.68,88.0,95.0,19.86,2019-03-26 22:34:37
jasper,ca,33.83,-87.28,64.4,0.0,34.0,8.01,2019-03-26 22:33:45
lyubech,ua,51.7,30.66,26.95,68.0,77.0,4.76,2019-03-26 22:34:38
sitka,us,37.17,-99.65,66.99,24.0,50.0,14.0,2019-03-26 22:30:18
ambilobe,mg,-13.19,49.05,73.53,80.0,94.0,2.75,2019-03-26 22:31:55
boa vista,br,2.82,-60.67,93.2,0.0,36.0,10.29,2019-03-26 22:00:00
geraldton,au,49.72,-86.95,37.4,75.0,25.0,13.87,2019-03-26 22:00:00
iqaluit,ca,63.75,-68.52,-0.01,40.0,64.0,17.22,2019-03-26 22:22:02
leshukonskoye,ru,64.9,45.76,27.4,80.0,85.0,4.76,2019-03-26 22:34:39
sarangani,ph,5.4,125.46,81.36,0.0,96.0,9.46,2019-03-26 22:34:39
norman wells,ca,65.28,-126.83,39.2,20.0,64.0,9.17,2019-03-26 22:00:00
salalah,om,17.01,54.1,78.8,75.0,78.0,5.82,2019-03-26 21:50:00
pontianak,id,-0.02,109.34,78.8,40.0,94.0,4.7,2019-03-26 22:00:00
putina,pe,-14.91,-69.87,53.6,75.0,62.0,2.24,2019-03-26 22:00:00
kidal,ml,18.44,1.41,83.28,0.0,21.0,11.77,2019-03-26 22:29:59
coahuayana,mx,18.62,-100.35,86.08,0.0,16.0,1.97,2019-03-26 22:34:39
muli,mv,22.62,71.45,65.34,0.0,49.0,2.86,2019-03-26 22:34:40
puerto del rosario,es,28.5,-13.86,62.6,20.0,82.0,4.7,2019-03-26 22:00:00
colquechaca,bo,-18.7,-66.0,45.27,92.0,98.0,2.19,2019-03-26 22:34:40
alindao,cf,5.04,21.21,70.51,8.0,94.0,1.52,2019-03-26 22:34:40
eyl,so,7.98,49.82,79.38,92.0,98.0,7.11,2019-03-26 22:34:40
clyde river,ca,70.47,-68.59,-5.81,20.0,70.0,5.82,2019-03-26 22:00:00
hervey bay,au,-25.3,152.85,79.0,75.0,88.0,6.93,2019-03-26 22:30:34
ahuimanu,us,21.44,-157.84,82.4,75.0,69.0,9.17,2019-03-26 22:32:26
dunedin,nz,-45.87,170.5,61.0,92.0,85.0,5.99,2019-03-26 22:23:22
fengzhen,cn,40.43,113.15,35.55,0.0,42.0,3.65,2019-03-26 22:34:41
punta gorda,us,26.93,-82.05,79.0,1.0,69.0,6.93,2019-03-26 22:34:28
sorland,no,67.67,12.69,30.2,75.0,92.0,14.99,2019-03-26 21:20:00
rocha,uy,-34.48,-54.34,65.64,64.0,65.0,11.54,2019-03-26 22:29:52
aykhal,ru,65.95,111.51,13.63,88.0,71.0,7.56,2019-03-26 22:34:41
coro,ve,11.41,-69.67,79.47,0.0,75.0,12.03,2019-03-26 22:34:41
kalabo,zm,-15.0,22.67,72.81,8.0,71.0,7.78,2019-03-26 22:34:41
oskarshamn,se,57.26,16.44,36.0,0.0,69.0,5.82,2019-03-26 22:30:04
bilma,ne,18.69,12.92,66.55,0.0,17.0,8.46,2019-03-26 22:30:53
uba,br,10.45,13.22,72.85,0.0,28.0,6.22,2019-03-26 22:35:12
inhambane,mz,-23.87,35.38,78.43,100.0,89.0,17.29,2019-03-26 22:35:12
lamu,ke,0.57,122.3,77.8,8.0,93.0,2.86,2019-03-26 22:35:12
teberda,ru,43.44,41.74,21.42,24.0,96.0,0.96,2019-03-26 22:35:12
tadine,nc,-21.55,167.88,79.51,68.0,95.0,20.09,2019-03-26 22:35:03
ler,sd,63.2,10.3,41.0,75.0,100.0,9.17,2019-03-26 22:35:02
luderitz,na,-26.65,15.16,59.67,24.0,89.0,8.68,2019-03-26 22:33:35
hami,cn,42.84,93.51,37.71,0.0,84.0,3.31,2019-03-26 22:35:13
snezhnogorsk,ru,69.19,33.23,15.8,0.0,85.0,4.99,2019-03-26 22:00:00
necochea,ar,-38.55,-58.74,60.01,0.0,66.0,3.0,2019-03-26 22:21:19
balloch,gb,56.0,-4.58,48.99,90.0,87.0,9.17,2019-03-26 22:35:06
vao,nc,59.1,26.19,23.71,0.0,82.0,7.45,2019-03-26 22:32:07
san patricio,mx,-26.98,-56.83,69.48,44.0,51.0,6.22,2019-03-26 22:35:13
careiro da varzea,br,-3.2,-59.81,86.0,40.0,70.0,4.7,2019-03-26 22:00:00
nanakuli,us,21.39,-158.15,82.4,90.0,57.0,6.93,2019-03-26 22:32:26
tiszanana,hu,47.57,20.53,42.8,0.0,45.0,9.17,2019-03-26 22:32:05
kavieng,pg,-2.57,150.8,85.05,36.0,98.0,7.45,2019-03-26 22:35:14
gold coast,au,-28.0,153.41,73.99,75.0,78.0,10.29,2019-03-26 22:34:03
cintalapa,mx,16.7,-93.73,69.84,48.0,75.0,12.03,2019-03-26 22:35:14
pangnirtung,ca,66.15,-65.72,5.0,40.0,77.0,6.44,2019-03-26 22:00:00
jalu,ly,29.03,21.55,52.51,0.0,46.0,2.75,2019-03-26 22:35:14
neiafu,to,-18.65,-173.98,78.8,90.0,88.0,8.05,2019-03-26 22:00:00
launceston,au,-41.43,147.14,50.0,0.0,70.0,3.42,2019-03-26 22:30:36
borogontsy,ru,62.67,131.17,2.56,36.0,65.0,4.21,2019-03-26 22:35:14
bubaque,gw,11.28,-15.83,77.8,0.0,100.0,15.5,2019-03-26 22:34:48
trairi,br,-3.28,-39.27,83.56,24.0,100.0,6.67,2019-03-26 22:35:15
bull savanna,jm,17.89,-77.59,71.37,100.0,95.0,2.3,2019-03-26 22:35:15
egvekinot,ru,66.32,-179.17,26.82,76.0,88.0,16.4,2019-03-26 22:35:15
coihaique,cl,-45.58,-72.07,66.2,0.0,59.0,1.86,2019-03-26 22:00:00
pobe,bj,6.98,2.66,80.37,36.0,74.0,8.01,2019-03-26 22:35:15
boyolangu,id,-8.09,111.9,73.89,24.0,92.0,3.76,2019-03-26 22:35:15
san rafael,ar,-34.61,-68.33,58.45,88.0,55.0,5.99,2019-03-26 22:30:38
sisimiut,gl,66.94,-53.67,6.66,64.0,82.0,3.53,2019-03-26 22:35:16
bosaso,so,11.28,49.18,79.96,0.0,97.0,5.99,2019-03-26 22:32:57
ponta do sol,cv,-20.63,-46.0,71.86,32.0,71.0,5.99,2019-03-26 22:35:17
novooleksiyivka,ua,48.49,32.24,29.56,12.0,86.0,2.98,2019-03-26 22:35:17
yingcheng,cn,30.93,113.57,59.0,0.0,77.0,4.47,2019-03-26 22:00:00
